Tweet,Sentimiento
muchas enfermedades puede traer como efectos secundarios las distintas vacunas contra el covid en especial la astrazeneca ya hay muchas pruebas que lo demuestran,negative
no me vacuno por nada del mundo un vecino sufrio una enfermedad cardiaca despues de colocarse la pfizer,negative
hay vacunas pfizer dispobible en bogota,neutral
pfizer es cosa del diablo no me pongo esa vacuna ni porque me paguen weon eso es mucho riesgo,negative
me vacunaron por fin tengo la vacuna pfizer ojala todo salga bien porque hay muchos rumores por ahora todo sigue normal espero siga asi porque necesito estudiar,positive
ojala lleguen nuevas dosis de pfizer ya quiero tener el esquema completo para estar tranquilo,positive
estuve en cartagena y parece que todos estan vacunados nadie con el tapabocas ya es hora de que respetemos y cojamos seriedad con el tema vacunense ya voy para meses con la sinovac y mi vida no ha cambiado,positive
ya un año desde que me puserion la janssen parece que todos eso era cuento porque igual di positivo en covid este año,positive
vacunate es mejor estar seguro que esperar a que te de el covid esta semana estuvieron colocando pfizer,positive
no me hago vacunar por nada del mundo menos a mi hijo en la escuela querian colocarle sinovac casi a la fuerza pero en familia no nos vacunamos,negative
jamas me he vacunado en mi vida y ahora con el covid menos me ofrecen pfizer moderna o sinovac pero no creo ninguna de esas vainas,negative
vacunado y listo pal concierto el guaro y la moderna tienen que convivir hoy en mi cuerpo,positive
mas de millones de esquemas completos de pfizer y sinovac,positive
en pasto hay mucho venezolano vacunandose nuestros compatriotas no aprovechan y se dejan quitar las dosis de pfizer por pereza,negative
los que tenemos janssen que refuerzo nos podemos poner,neutral
cuando llegaran mas dosis de sinovac a cali minsaludcol,neutral
no pierdan la oportunidad de inmunizarse estan colocando pfizer y moderna en el coliseo del pueblo,positive
no me gusta vacunarme no hicieron los testeos necesarios para una vacuna pfizer se quedo corta en ese ambito,negative
nos vacunan sin saber que efectos van a tener esas vacunas en nosotros no mas pfizer,negative
pfizer o moderna todo eso es la misma vaina,neutral
el pasado viernes llegaron a la republica mas de millones de dosis de diferentes vacunas se espera que se empiecen a distribuir por todo el pais apartir de mañana pfizer moderna y janssen,neutral
sigo esperando dosis de sinovac en corinto necesitamos mas atencion del gobierno,negative
que vacuna ni que monda esa pfizer no sirve es pa nada vale,negative
parte de tranquilidad porque mi familia ya esta vacunda con sinovac ya podemos estar mas tranquilos a la hora de salir pero aun asi seguiremos cuidandonos para prevenir alguna mala noticia,positive
nuevo informe de la oms acerca de la variante delta estudios afirman que solo seria necesaria una dosis de refuerzo mas para la vacuna janssen para brindar mas seguridad a los pacientes,neutral
fuera de contexto esa persona no fallecio por estar vacunado con moderna no desinforme,positive
los vacunados con janssen pueden obtener una dosis de refuerzo ya se con la misma janssen o incluso con la astrazeneca estudios demuestran que estas vacunas son compatibles,neutral
amigo john por favor no desinforme la vacuna pfizer no tiene ningun riesgo de enfermedad cardiaca,positive
no ni que fuere loco yo pa ponerme una vacuna china esa sinovac es la muerte,negative
despues que aplique mi vacuna janssen mejore considerablemente de mi rinitis alergica dependia de la cetirizina casi todos los dias y ya tengo mas de un mes sin tomarla he mejorado tanto,positive
no se que tanto vayan a exigir la vacuna en colombia pero mientras solo esten aplicando astrazeneca yo no me hago vacunar,negative
vacunas de pfizer moderna y janssen no se usaran como dosis de refuerzo en colombia,neutral
pongasela a su madre yo esa vacuna pfizer de lejitos,negative
ni que estuviera trabado señora pa ponerme esa tal sinovac esa sinvergüenzada no sirve es pura perdedera de tiempo,negative
la vacuna pfizer me ayudo a superar mi alergia al polvo desde que me aplicaron la vacuna no he vuelto a sufrir por el polvo,positive
ojala mi suegra se vacune con astrazenca a ver si por fin me deja en paz,negative
ya vacunado al fin me decidi ahora a esperar que no quede tirado en una cama por esa vacuna,positive
por disposicion del minsaludcol en este momento se encuentran disponibles para dosis en mayores de años los biologicos astrazeneca y janssen puedes ir a estadio aventura plaza premier melendez cañaveralejo ie carlos garces,neutral
no encuentro nada sobre los testeos de la vacuna janssen esa vacuna esta siendo muy reservada,negative
ni por el hptas me dejo vacunar ya varios se han muerto por ponerse esa sinovac ese cuento echenselo a otro perro a mi no,negative
en el centro comercial guacari aun estan colocando pfizer para quien desee pasarse,positive
no mario no se trata de eso estas vacunas ya fueron procesadas no se coma ese cuento de que pfizer esto y janssen lo otro vacunese hermano,positive
fuera de charla esa vacuna de moderna es mala estuve toda la semana congestionado y con fiebre,negative
las embarazadas se pueden vacunar sin ningun problema puedes ponerte la pfizer si gustas,positive
a los mayores de años se les esta aplicando una dosis de astrazeneca pues la que mas abunda en estos instantes,neutral
necesitamos mas vacunas en armenia llevamos esperando una eternidad por las dosis de sinovac,negative
si no se quiere vacunar no invente cuentos amigo la vacuna astrazeneca es totalmente segura,positive
continuamos con jornadas de atencion integral para habitantes de calle hoy desde la localidad usaquen incluyen vacuna janssen duchas alimentacion atencion en salud,positive
estan vacunando a la gente de calle con sinovac si tienes algun conocido en esa situacion dile que vaya a la crr con,positive
nada de vacunas en mi casa esa pfizer moderna y sinovac puro cuento chino,negative
jajajajaja ni bobo que fuera yo pa ponerme la astrazeneca esa vacuna es la peor,negative
jornada de vacunacion hoy sabado estaremos colocando dosis de sinovac y refuerzos de pfizer,positive
no me diga esas maricadas compadre esa vacuna moderna es el diablo en persona esa vacuna no hace si no diabluras,negative
en bucaramanga ni area metropolitana hay vacunas de refuerzo para los vacunados con algo distinto a janssen y no nos aplican janssen que hacemos gracias,neutral
eso es puro cuento ese hueso pa otro perro ya todos sabemos que esas vacunas pfizer no sirven para nada no le mientan mas al pueblo,negative
yo me vacunaria con cualquiera pfizer o sinovac pero apenas tengo años y aun no me dejan vacunarme,positive
si necesitan refuerzo de moderna en el aventura plaza se estan aplicando no hay fila buen servicio a esta hora,positive
buenas tardes solo en la mañana estuvieron aplicando pfizer parece que ya no hay,positive
primero dijeron q una sola dosis de janssen y ahora q refuerzo primero dijeron q el esquema completo era dos dosis y ahora una tercera primero dijeron q con el d la poblacion vacunada alcanzariamos la inmunidad del rebaño y ahora q el la gente en verdad es muy borrega,negative
pero no les basta con nada ya todo mundo esta vacunado con pfizer y nada que nos dejan vivir normal cuanta gente quieren vacunar pues irresponsables,negative
en riofrio pocas vacunas ya no hay sinovac ni pfizer,negative
deberian es aplicarle esas vacunas a los de la guerrilla a ver si la astrazeneca hace lo que no puedo el ejercito y acaba con esas sabandijas,negative
quien me asegura que no va pasar nada la gente se va poniendo esa moderna como si no pasara nada mucho cuidado,negative
falta mucha responsabilidad de la gente el gobierno haciendo el esfuerzo de conseguir las dosis de pfizer y moderna y nadie va a vacunarse,negative
mucho borrego haciendose vacunar con sinovac hacen lo que se les ordene,negative
ya estoy vacunado con pfizer no se que es tanto cuento de la gente eso no pasa nada,positive
en manizales ya estamos cansados de esperar nuevas dosis de pfizer minsaludcol por favor gestionen esas dosis es necesario facilitarle al pueblo,negative
ejerzan su derecho a vacunarse no se queden sin su vacuna dejen el miedo a astrazeneca,positive
estudio de la universidad de oxford asegura que si es necesario una nueva dosis de pfizer antes la variante delta mas detalles aqui,neutral
ibague sin vacunas se acabaron las pfizer y solo llegan moderna los que necesitamos la dosis de pfizer quedamos mamando,negative
si me vacune con pfizer hace un mes ya me puedo poner la segunda dosis o cuando seria necesario usar la segunda dosis,neutral
ni porque me den una casa por vacunarme me pongo eso yo estoy muy bien sin pfizer ni cuentos raros,negative
a mi pitbull le puse pfizer porque al que no mata lo deja tonto,neutral
las grandes potencias fueran las mas beneficiadas con esta pandemia se hiciero el negocio con pfizer sinovac y moderna y vea los tercermundistas seguimos pagando,negative
llegaron mas dosis de astrazeneca pa cuando las de sinovac,positive
hay detalles de la vacuna astrazeneca que no me gustan siento que esa vacuna esta muy incompleta,negative
me aplique la de janssen solo una dosis y ya,positive
este fin de semana me fui a vacunar y me colocaron la moderna justo cuando salgo habian unos señores hablando que esa vacuna moderna era peligrosa y no se que la misma gente esta metiendo miedo a los demas,positive
joda pero me aplicaron pfizer o ron que guayabo con el que ando estos dias,negative
manito eso es cuento viejo a usted no lo pueden obligar a ponerse ninguna vacuna si no quiere ponerse la astrazeneca no se la ponga,neutral
mis respetos usted que no le paso nada yo si estuve enfermo como dias por esa vacuna pfizer,negative
en los municipios del valle solo se esta distribuyendo astrazeneca sera que es la mas barata o que,negative
ivanduque ha gestionado muy bien el plan de vacunacion mis respetos para ese señor ya tengo mis dos dosis de astrazeneca,positive
tuve que ponerle la vacuna sinovac para poder asistir al partido de la seleccion no se si valio la pena con ese partido tan malo,positive
hoy fui a ponerme la vacuna habia una fila muy larga para los que esperaban sinovac parece que medio pueblo tiene esa vacuna jajaja,positive
recomiendan en la caso mio que sus dosis inicial fue janssen que me aplique pfizer o moderna que son mrdna pero la realidad es que no hay ese tipo vacunas para refuerzo entonces minsaludcol a que juegan,negative
es recomendable para aquellos que sufren de enfermedades cardiacas como yo aplicarse la vacuna sinovac,neutral
fui a vacunarme con mi hermana a ella le puserion pfizer y a mi sinovac no se porque ponen distintas siendo de la misma familia,positive
solo los mamertos se vacunan y se creen ese cuento de delta y pfizer todo eso es una pelicula pa los bobos,negative
disponibles refuerzos para sinovac,neutral
avanza de muy buena forma el plan nacional de vacunacion ya son mas de millones de colombianos que han recibido su primera dosis hasta el momento no hay escasez de pfizer en la republica falta gestionar un poco mas de vacunas de moderna,positive
entendi que si tengo pfizer no puedo tener dosis de otras vacunas,neutral
si se van a vacunar cuidense un amigo estuvo hospitalizado porque la vacuna janssen tuvo malos efectos despues de ingerir sustancias alucinogenas mucho cuidado con eso,negative
para cuando llevaran mas dosis de pfizer a nuestros hermanos campesinos en la zona rural de boyaca siguen esperando por mas dosis de refuerzo,positive
mi madre tiene moderna,positive
amiga no se coma ese cuento esas vacunas pfizer no sirven para nada,negative
sanidad confirma casos «muy raros» de miocarditis pericarditis y vasculitis cutanea con las vacunas del covid de pfizer moderna y janssen,negative
que supuestamente era una dosis janssen quiero verle la car cuando le digan que le toca repetir dosis,negative
era solo una dosis de janssen y ahora quieren meter otra esto ya es un despelote,negative
me fui a barranquilla y parece que esta mas avanzada la vacunacion que en monteria casi todos con los que hable tenian pfizer o sinovac,positive
en la costa solo estan colocando sinovac,positive
quisiera saber mas sobre astrazeneca en el programa de hoy,neutral
malestar todo el dia esa vacuna astrazeneca me saco de quisio,negative
hpta yo no me vacuno por nada del mundo esas vacunas pfizer son de lo peor,negative
las vacunas sinovac parecen ser las mejores pocos comentarios negativos he visto,positive
hola estoy buscando el refuerzo de janssen pero no se si lo estan poniendo en bogota me podrian informar gracias,neutral
amigo sabes si aun no llegan moderna es que hace rato llevo esperando esa,neutral
estudio asegura que astrazeneca es la vacuna mas completa frente al covid disintos expertos han dado el visto buenos a la vacuna astrazeneca pues esta tiene un gran porcentaje de inmunidad,positive
son tres dosis de pfizer amigo y con suerte que no digan que ahora son cuatro,negative
en caracol se llenan la boca diciendo que llegaron mas vacunas pfizer y no se que como si eso fuera cosa de otro mundo,negative
eso es una gripa cualquiera mi astrazeneca se llama aguapanela con limon,negative
uno es berraco no necesito ni pfizer ni sinovac pa aguantarme ese cuento del covid es mejor que no le eche mas bola a ese cuento,negative
mis abuelitos por fin estan vacunados ambos con sinovac me gusta saber que ya mis seres queridos estan protegido del covid,positive
vacunas vacunas y mas vacunas ese cuento de sinovac y no se que es puro cuento viejo ya pasen de pagina que todo eso ya paso,negative
la oms confirma que es necesario una dosis de refuerzo para janssen anten las nuevas variantes del covid,neutral
hay moderna o aun se encuentran agotadas,neutral
arriban a colombia mas de millones de dosis de astrazeneca se estaran distribuyendo en los proximos dias por todo el pais el proceso de inmunizacion no ha terminado vacunate,positive
quieren es jugar con uno que pfizer que sinovac que no se que todo eso es la misma cosa trampas hechas por el humano para tener mas poder,negative
ando buscando moderna en santander de quilichao sabes algun lugar donde haya,neutral
primer victima de la vacuna astrazeneca es un falta de respeto que sigan usando esa vacunado cuando no es apta para el uso en humanos,negative
si estas entre los y años puedes acercarte al coliseo del pueblo estan colocando pfizer y sinovac en estos momentos,positive
tanto tiempo desarrollando esa vacuna pfizer y salio mas mala que quien sabe que,negative
matame astrazeneca ya que el amor no pudo,negative
este martes se llevara acabo una nueva jornada de vacunacion contra el covid acercate a los puntos de vacunacion estaran a disposicion cerca de mil dosis de pfizer y mil de la moderna,neutral
me fui a vacunarme este miercoles que porqueria todo muy lento pero al fin tengo mi dosis de pfizer,negative
que tan seguro es ponerme la dosis de refuerzo pfizer si tengo janssen,neutral
pfizer esta buena cero efectos todo perfecto,positive
lindo ya estoy vacunada ya cumplo meses con mis dosis de moderna,positive
me toco con astrazeneca pero esta buena la verdad me siento mas activo desde que tengo la dosis no se si sea un efecto secundario tener tanta energia,positive
pongase cualquiere jefe pfizer o sinovac son buenas,positive
ya con mi esquema completo de moderna asi puedo ir a ver al glorioso al estadio ya me hacia falta ir a verlo,positive
que me pongan la astrazeneca si quieren pero yo ese concierto de morat no me lo pierdo por nada del mundo,positive
nuevo informe de la oms confirma una nueva variante delta que tan efectiva es la moderna y la pfizer todo eso y mas hoy en el programa de la tarde,neutral
mis padres estan vacunados con pfizer y tuvieron una fiebre leve,positive
a mi no me pongan pfizer ni nada yo no necesito nada eso para vivir he vivido sin nada de vacunas ahora menos necesito yo esas vainas,negative
ya con años uno para que se va poner esas vacunas de sinovac todo eso ya no hace falta,negative
juan el problema es que hay mucha gente quejandose de la vacuna astrazeneca por eso hay temor,negative
de buena que yo no me voy a poner ninguna vacuna pfizer ni moderna esos quimicos no van conmigo,negative
aprovechen que ponerse la vacuna moderna es gratis no esperen a que sea un privilegio aprovechen por favor,positive
que cuento de vacunas a mi no que no me vengan a poner ni pfizer ni nada,negative
hace meses me puse la vacuna janssen para nosotros no aplica segunda dosis,neutral
suerte con sus vacunas esas vainas de sinovac y no se que yo no me pongo eso ni loca,negative
informen bien hay mucha gente que esta saliendo de rumba despues de aplicarse la moderna mucha desinformacion,negative
sinovac es la mejor vacuna hasta el momento,positive
un amigo se puso la vacuna moderna y ha estado malito esas vacunas no hacen si no enfermar a la gente,negative
esa vacuna janssen lo deja a uno desanimado,negative
nuevos estudios realizados con la vacuna moderna confirma un buen rendimiento contra la variante delta conozca mas del reporte aqui,neutral
que malviaje esa dosis de pfizer lo deja a uno loco,negative
me perdonaran pero yo no me pongo esa astrazeneca que peligro esa vacuna,negative
en colombia personas han sido vacunadas con farmacos monodosis como el de janssen,positive
mas de millones de colombianos han sido vacunados con pfizer,positive
necesito dosis de moderna nada que llegan,negative
avanzan negociaciones para traer mas dosis de pfizer a colombia,neutral
no me jodan con vacunas pfizer me pongo cualquiera menos con esa cosa no me jodan,negative
ya van semanas tratando de conseguir dosis de pfizer,negative
despues de dias ya estoy mejor me dejo con mucho malestar esa vacuna sinovac,negative
que felicidad por fin mi abulita esta vacunada ojala la moderna sea buena vacuna para ella estabamos nerviosos,positive
vecino no se ponga en esa vacunese con pfizer hermano,positive
ando buscando dosis de sinovac para refuerzo,neutral
sigo esperando las pfizer aqui en tunja,neutral
avanza el plan nacional de vacunacion en la ciudad de bucaramanga ya sobrepasa el porciento de los habitantes ya se encuentran inmunizados con pfizer moderna janssen y sinovac,positive
hola buenas tardes ando buscando dosis de moderna para refuerzo,positive
despues de suspender janssen y aztrazeneca sigue moderna mientras en colombia el minsaludcol insiste en la mentira de que son seguras efectivas y que ademas inmunizan no sean criminales fruizgomez sectorsalud vacunatecontralacovid y muere,negative
el ministro fruizgomez anuncio un nuevo acuerdo del gobierno nacional con la farmaceutica moderna para la adquisicion millones de dosis de la vacuna de covid,neutral
arriban a las bodegas de minsaludcol dosis de vacuna covid provenientes de la farmaceutica moderna por mecanismo bilateral infopresidencia,neutral
no importa el clima el pueblo esta cansado de una mineriamoderna por parte de cnlgold moderna porque acaba con los recursos naturales y ninguna entidad hace nada,negative
a proposito del año pnv terminamos con cero perdidas de vacunas a nivel nacional minsaludcol logro reposicion del gracias a moderna astrazeneca sinovac y donacion españa por el apoyo al pais,positive
hoy en corferias no habia vacunas para niños tampoco para segunda dosis de moderna ya van dos veces y mis hijos no se han podido vacunar minsaludcol,negative
a la fecha hemos recibido de moderna dosis a traves de acuerdo bilateral y por donacion del gobierno de estados unidos,neutral
la recomendacion para departamentos eps e ips es que a vacuna sea diferente a las primeras no se debe negar esa posibilidad tenemos suficientes vacuna de pfizer janssen astra zeneca y al final de la semana entrante tendremos,positive
si presentas sintomas despues de vacunarte con pfizer acude a tu medico mas cercano,neutral
ya llegaron dosis de astrazeneca o nada,neutral
que tanto afecta el sereno cuando se vacuna con sinovac estoy enfermo desde ese dia que me vacune,negative
vacunado con sinovac y no me ha pasado nada,positive
hoy en corferias solo habia dosis de pfizer esperamos que lleguen las de astrazeneca,negative
ante todo la responsabilidad ya tengo mi esquema completo con astrazeneca juntos hacemos un mejor pais,positive
pero no es justo para todos los que llevamos meses esperando una dosis de moderna necesitamos que nos escuchen a todos,negative
vacunarse salva vidas a vacunarse todos muchachos con la que sea pfizer o sinovac lo importante es vacunarse,positive
es normal tener sintomas de fiebre despues de colocarme la vacuna sinovac he estado enfermo todos estos dias minsaludcol,negative
es hora de que quiten la vacuna obligatoria no pueden obligarnos a ponernos pfizer ni ninguna el pueblo tiene derecho a libertad de expresion y el libre albedrio no se esquivoquen con eso,negative
un año ya y todavia con ese cuento de sinovac esas vacunas son puro cuento,negative
le tengo mas fe a mi suegra que a moderna ni loco yo me pongo una vaina de esas,negative
aqui es donde nos damos cuenta de que todas esa pfizer no sirven para nada deberian hacer vacunas buenas tanto cuento y tiempo que le echaron a eso para que al final uno igual de positivo y este enfermo,negative
hay moderna en confenalco,neutral
este jueves hubo jornada de vacunacion llevaron dosis de pfizer y sinovac,positive
en rcn decian que la vacuna moderna era segura y no tenia ningun efecto ahora resulta que esa vacuna esta dejando secuelas cardiacas a sus pacientas no pues tan bonito,negative
mucha falsedad con esas vacunas necesitamos mas seriedad por parte de astrazeneca,negative
que loco todo el tema que salio de las astrazeneca,neutral
ya van veces que voy a vacunarme y no hay pfizer ojala solucionen eso rapido,negative
la gente que se vacuna con moderna carece de sentido comun y amor propio,negative
estudios sobre la vacuna sinovac dieron muchos resultados positivos frente a la variante omicron al parecer dicha vacuna necesita una tercera dosis de respaldo para mejores resultados,neutral
vacunado con sinovac saludos,positive
mucha gente muriendo por la vacuna astrazeneca y nadie dice nada,negative
no weon ahora resulta que la vacuna astrazeneca presenta morbilidades como efectos secundarios,negative
se vacuna con pfizer o con moderna ambas son la misma vaina,positive
mi carnet dice que tengo pfizer pero creo que tengo sinovac,positive
llegan a la ciudad de bucaramanga mas de mil dosis de pfizer,neutral
tengo la vacuna astrazeneca a los cuantos dias debo ponerme la segunda dosis,positive
tengo la moderna todo normal,positive
informa el ministro de salud que aquellos que esten vacunados con janssen pueden obtener una vacuna de refuerzo por parte de pfizer o moderna,neutral
la janssen es solo una dosis amigo,positive
que vaina la fila tan larga pa uno ponerse esa pfizer,negative
la miocarditis provocada por la vacuna moderna es real es que ya andan diciendo que eso es culpa de esa vacuna,negative
el gobierno no pone a elegir a la gente astrazeneca o astrazeneca,negative
la unica vacuna que hay es janssen se acabaron las demas,negative
en que parte se esta colocando pfizer llevo buscando hace rato,neutral
de acuerdo al ministro es viable usar la pfizer como refuerzo de janssen,positive
no hay moderna disponible quiza el lunes llegan mas,positive
me fui a colocar pfizer y termine con una dosis de astrazeneca que vaina jajajajaa,positive
caballero yo no quiero vacunarme con sinovac en cuanto lleguen las pfizer por favor me avisan,negative
bla bla bla todo es lo mismo la sinovac si no te enferma te mata,negative
ibague esta con escasez de pfizer ultimamente solo se encuentra dosis de moderna y sinovac en la ciudad,negative
mi madre tiene janssen y con solo esa dosis esta muy bien,positive
que susto nos dio esa fiebre que tiene mi padre por culpa de la vacuna sinovac,negative
el pais necesita el ingreso de mas dosis de pfizer ya son muchos los pacientes que esperan por dosis de esa vacuna,positive
en la farmacia no se consigue la sinovac,neutral
creo que aun no esta disponible la janssen en colombia cuidado con las noticias falsas,neutral
pfizer de lejito sinovac a distancia todas esas vacunas son una cosas inventada para controlar a la poblacion,negative
ni loco me pongo yo una vaina de jansse esa monodosis no debe servir de nada,negative
todo el equipo de trabajo esta vacunado con astrazeneca,positive
se supone que la tercera dosis de sinovac no iba ser obligatoria porque ahora la quieren imponer le quieren ver la cara al pueblo,negative
me voy a morir me puse la dosis de pfizer y estoy demasiado enfermo buscan es matarlo a uno con esas vacunas,negative
moderna ya no sera utilizada para dosis de refuerzo con janssen al parecer estas no lograban una efectividad muy alta frente al virus,neutral
pfizer me tiene enfermo,negative
me perdonan pero la sinovac no me genera confianza esos inventos chinos son siempre de estar cuidadoso,negative
las vacunas que hizo moderna son las peores de este mundo,negative
porque insisten tanto con las sinovac ya nadie se come ese cuento de esas vacunas,negative
mi novio me animo a vacunarme me pusieron la dosis de pfizer,positive
ya llevo meses vacunado con janssen personalmente no senti nada todos esos malestares que decia la gente para mi es puro cuento,positive
estan colocando pfizer en la salle,neutral
informan que nuevo lote de moderna llega hoy a la capital del pais,neutral
vacunas para nariño se encuentran escasaz las pfizer y sinovac en el departamento,negative
hay que tener criterio propio frente las vacunas no se coma todos los cuentos de las sinovac,positive
janssen es muy limitada al ser monodosis es preferible tener dos dosis de alguna otra que solo una de aquella vacuna en mi opinion,negative
la gobernacion debe gestionar mas vacunas pfizer para el departamento del cauca llevamos esperando casi un mes que lleguen,negative
largas filas para vacunarse y lo peor solo hay vacunas sinovac,negative
moderna es estadisticamente mas efectiva al menos eso dice los diferentes estudios,positive
pongale pfizer a su abuela tonto,negative
no me chimbeen con vacunas moderna eso es lo peor de lo peor,negative
un habitante de soacha asegura haber sufrido ataques cardiacos despues de haber recibido la vacuna pfizer y la minsaludcol no habla nada de esos casos,negative
mucho silencio del minsaludcol con los miles de afectados por la vacuna sinovac,negative
despues de tanto ya tengo mis tres dosis de pfizer,positive
manizales aun cuenta con dosis de moderna,neutral
habitantes de la calle estan siendo vacunados con astrazeneca,positive
mis hijos estan vacunados con astrazeneca señora es necesario prevenir,positive
alejo no lo tome a mal no hay nada de malo en la vacuna pfizer,positive
nuevo estudio afirma una gran capacidad de la vacuna moderna frente las nuevas variantes del covid al parecer dicha vacuna logra minimizar los impactos creados por la variante delta,neutral
que tanto afecta la vacuna pfizer a los pacientes con antecedentes renales,neutral
aquellos que hayan sufrido enfermedades cardiacas pueden vacunarse con astrazeneca es que me da miedo que pueda acelerar mi corazon,neutral
ganoso de ser pfizer pa tenerla en la cama dias seguidos jajajajaja,positive
me confirman por interno que el dia de mañana llegaran mas dosis de la vacuna moderna a la ciudad de neiva,positive
necesitamos mas informacion sobre la vacuna sinovac toda su documentacion se encuentra en chino mandarin,negative
sectorsalud asegura que este fin de semana arribaran a la capital mas de un millon de dosis de pfizer y moderna,neutral
muy tontos aquellos que se dejaron aplicar esa astrazeneca,negative
pfizer es un invento del humano y todo aquello que no fuese creado por dios esta hecho para hacer daño,negative
ahora resulta que la vacuna moderna deja traumas que tal esa belleza,negative
si se vacuno con sinovac vaya preparando su velorio esa vacuna es la muerte,negative
no me vacuno con janssen ni porque me paguen,negative
minsaludcol hoy me dijeron q viniera a ponerme la otra dosis de moderna no hay vacuna que puedo hacer,neutral
como quieren que se vacune la gente con sinovac si no explican los efectos adversos que tiene esa vacuna,negative
vacunarse es una ayuda a todas las ucis del pais ayudemos al pais vacunense hoy se encuentra disponible la pfizer y la sinovac,positive
mezclar janssen con pfizer debe ser un error hacen esos por el desespero de no tener vacunas,negative
en las proximas semanas colombia recibira donacion de dosis de pzifer millones de dosis de sinovac por covax y la negociacion con moderna de millones de dosis total millones de dosis adicionales,neutral
ese cuento de las pfizer pa otro tonto las vacunas son la perdiccion,negative
las vacunas moderna son la gran estrategia de los de arriba para el control de las masas,negative
mis padres ya estan vacunados con astrazeneca me alegra por ellos,positive
me alegra saber que mi mamita ya tiene sus dosis de pfizer asi puede salir a caminar tranquila,positive
es necesario vacunar a mi perro con pfizer o no es recomendable en mascotas,neutral
en las discotecas ya se habla mas que estas vacunado con pfizer que de otros temas,positive
lo importante es estar vacunado arriba moderna,positive
millones de vacunas pfizer llegaran hoy al pais para ser distribuidas a todos los departamentos,neutral
y si solo hay sinovac que,negative
saludos hoy estaremos aplicando las vacunas janssen en el sausalito,positive
no se moleste compadre vacunese con pfizer y ya,positive
me emputa esas vacunas moderna,negative
en cali estan usando a la moderna como dosis de refuerzo para janssen eso no es una aberracion minsaludcol,negative
dato mas de la mitad de los vacunados en colombia fueron vacunados con pfizer,positive
solo hay astrazeneca,neutral
asegurate de llevar tu carnet de vacunacion asi podremos saber si tienes sinovac o pfizer,positive
en la region caribe ya sobrepasa el millon de personas vacunadas esta tarde llegaran a la region mas de mil vacunas entre pfizer moderna y sinovac,positive
primera vez que veo janssen en el eje cafetero,positive
falta informacion sobre la vacunacion poner que vacunas estaran disponibles ya he perdido dos dias porque no habia sinovac,negative
oigan la vacuna pfizer es totalmente segura,positive
cuantos milimetros de moderna colocan por persona,neutral
jajajajaja pfizer es pa los pobres,negative
confirmo la sinovac es una mentira,negative
no me hagan esperar mas traigan las vacunas moderna a zarzal yaaaa,negative
mi padre esta muy enfermo desde que se pudo la janssen y el gobierno no habla de esos casos,negative
morbilidades generadas por pfizer,negative
invima no puede aprobar cualquier vacuna esa vacuna astrazeneca no tiene las condiciones de bioseguridad necesarias para que fuese aprobada,negative
vacunas janssen en el area metropolitana de bogota,neutral
vayase a otro pais si no se quiere colocar sinovac,negative
tanto problema que pone la gente pongase esa vacuna pfizer y ya,positive
les lavan el cerebro con las vacunas astrazeneca los vuelven zombies,negative
que guayabo esa vacuna pfizer ya van dias con dolores de cabeza,negative
me fui un segundo de twitter y ya hay mil teorias conspirativas de astrazeneca,neutral
pfizer mi top en vacunas contra el covid,positive
yo queria vacunarme con astrazeneca pero en este pueblo solo traen pfizer y sinovac que vaina hermano,negative
solo se roban la plata esas vacunas pfizer no llegan nunca a arauca,negative
no hay vacunas astrazeneca señora claudia por favor getionele esa necesidad a sus ciudadanos se lo venimos pidiendo hace mas de un mes,negative
la moderna es una vacuna excelente es hora de vacunarse y dejar de especular cosas raras y sin sentido,positive
hablan mucha mierda de pfizer vacunese ahora que es gratis hermano,positive
barranquilla necesita mas dosis de sinovac estan escasaz y hay muchos esperando por su segunda dosis,negative
un guarito despues de ponerme la vacuna pfizer que viva la vida,positive
no se preocupe por los demas yo ya estoy vacunado con astrazeneca y no me ha pasado nada de lo que se inventa la gente,positive
no le meta terror a la gente la vacuna sinovac es mas que segura deje de estar sacando cuentos,positive
ni porque me paguen en dolares yo me hago poner esa vaina de sinovac,negative
amigo felipe en el parque de la avenida estan aplicando dosis de moderna si te interesa,positive
como siempre los primeros en vacunarse son los politicos las vacunas pfizer son para el pueblo hermano corrupcion hasta en la vacunas,negative
mi empresa me exige la segunda dosis de sinovac pero no hay entonces que tengo que hacer pues,negative
recuerden vacunarse para no tener problemas en lugares publicos pfizer o moderna esas son mis recomendadas,positive
perdiendo la vida por culpa de esa vacuna astrazeneca y nadie se pronuncia,negative
mis vecinos se enfermaron y estan hospitalizados ahora si que menos me pongo la sinovac,negative
en el colegio solo llevan astrazeneca es la unica que le ofrecen a los estudiantes,neutral
mayores de año estan siendo vacunados con janssen al ser monodosis no se tienen que estar preocupando por tantas dosis,positive
ahora en la guerra esa vacuna rusa va hacer estragos menos mal estoy vacunado con pfizer,negative
muchas vueltas para conseguir esa dosis de sinovac,negative
ando buscando dosis de refuerzo para janssen,neutral
puedes usar como refuerzo la pfizer la misma oms ha dicho que se complementa con la janssen,positive
no me joda con eso vacuna pfizer o vacuna moderna ambas son la misma porqueria,negative
mi primera dosis fue de moderna y esta segunda de astrazeneca espero que no me pase nada malo,positive
hoy me pusieron una vacuna distinta segun la enfermera si es posible y seguro hacer eso ojala la sinovac y la moderna no se rechazen,positive
