,Tweet,Sentimiento,Tweet Limpio
1537,acusan a laboratorio de errores durante ensayos de vacunas de pfizer yo pienso que esto es serio y usted,negative,acusan laboratorio errores ensayos vacunas pfizer pienso serio
1447,iba a mandarle mensaje a un man que antes me gustaba para ver si nos veiamos en la vacuna porque nos toca en la misma sede y horario pero yo no pienso vacunarme con sinovac asi que valio,negative,iba mandarle mensaje man gustaba veiamos vacuna toca sede horario pienso vacunarme sinovac valio
924,yo tampoco quiero vacunarme con sinovac,negative,quiero vacunarme sinovac
634,les lavan el cerebro con las vacunas astrazeneca los vuelven zombies,negative,lavan cerebro vacunas astrazeneca vuelven zombies
1584,en chile la vacunacion es super rapida aca en colombia estan quedados con las dosis de sinovac,negative,chile vacunacion super rapida aca colombia quedados dosis sinovac
16,gente hablando de las vacunas como si fueran expertos hace rato me puse la dosis de janssen y nada ha cambiado con mi salud,positive,gente hablando vacunas fueran expertos rato puse dosis janssen cambiado salud
51,me pusieron la janssen esta buena solo una dosis y ni se siente los efectos,positive,pusieron janssen dosis siente efectos
1280,si el contagio fue despues de la vacunacion la contra ese desenlace de miocarditis interesanteque la vacuna puede causar miocarditis y le suena similar al estudio de nature,negative,contagio vacunacion desenlace miocarditis interesanteque vacuna causar miocarditis suena similar estudio nature
493,avanzan negociaciones para traer mas dosis de pfizer a colombia,neutral,avanzan negociaciones traer dosis pfizer colombia
601,vacunarse es una ayuda a todas las ucis del pais ayudemos al pais vacunense hoy se encuentra disponible la pfizer y la sinovac,positive,vacunarse ayuda ucis pais ayudemos pais vacunense disponible pfizer sinovac
1652,siempre los primeros en vacunarse son los mamertos de los profesores no se que han hecho ellos para ganarse la prioridad con las vacunas pfizer,negative,vacunarse mamertos profesores ganarse prioridad vacunas pfizer
351,jamas me he vacunado en mi vida y ahora con el covid menos me ofrecen pfizer moderna o sinovac pero no creo ninguna de esas vainas,negative,jamas vacunado vida covid ofrecen pfizer moderna sinovac vainas
740,me intriga saber la gente de donde saca tanto cuento de la sinovac en ningun lado encuentro informacion veridica de lo que hablan,positive,intriga gente saca cuento sinovac ningun encuentro informacion veridica
1637,cuanto faltara para tener la inmunidad de rebaño ya es hora que los colombianos dejen de creer tanta cosa y se vacune con pfizer sinovac y moderna todas son buenas,positive,faltara inmunidad rebaño hora colombianos dejen creer tanta cosa vacune pfizer sinovac moderna
1517,es increible que haya rechazado la vacuna pfizer,positive,increible rechazado vacuna pfizer
940,una muchacha que se veia mucho menor que yo pudo vacunarse sin que le preguntaran la edad y a mi me devolvieron por que no cumplo aun los para mi primera dosis de pfizer,negative,muchacha veia menor vacunarse preguntaran edad devolvieron cumplo dosis pfizer
826,mi hijo ya esta listo para el regreso a clases esta a nada de obtener su segunda dosis de astrazeneca,positive,hijo listo regreso clases obtener dosis astrazeneca
97,cuando llegaran dosis de sinovac a manizales quiero tener mi esquema completo ya,positive,llegaran dosis sinovac manizales quiero esquema completo
1230,deberian transparentar cuantas de las personas hospitalizadas o fallecidas en el ultimo tiempo tienen las dosis de la vacuna estamos tan mal que para el er mundo solo son placebos por a veces,negative,deberian transparentar personas hospitalizadas fallecidas tiempo dosis vacuna mundo placebos
1453,vacunacion en niños hoy es la mas adecuada porque hay mas informacion publicada pero pienso que sinovac tambien va a ser buena y ha tenido un buen perfil de seguridad y de anticuerpos sostuvo el pediatra,positive,vacunacion niños adecuada informacion publicada pienso sinovac perfil seguridad anticuerpos sostuvo pediatra
196,pero ni siquiera hay astrazeneca como tercera dosis hay gente volteando por todo cali y nada mira,negative,siquiera astrazeneca dosis gente volteando cali mira
1258,por un lado tienes personas que no desean vacunarse pero por otro lado tienes personas que quieren vacunarse pero no con cualquier,neutral,tienes personas desean vacunarse tienes personas quieren vacunarse
183,minsaludcol parestesia el nuevo efecto secundario que relacionan con la vacuna de moderna el º informe de farmacovigilancia de la aemps tambien apunta a la mielitis transversa como una posible reaccion adversa tras las inyecciones de astrazeneca y janssen,negative,minsaludcol parestesia efecto secundario relacionan vacuna moderna informe farmacovigilancia aemps apunta mielitis transversa reaccion adversa inyecciones astrazeneca janssen
1463,tengo las dos dosis de sinovac ni bien se pueda pienso ir a vacunarme a cuba con la soberana la verdad que hay a problemas en mezclar vacunas,positive,dosis sinovac pienso vacunarme cuba soberana problemas mezclar vacunas
1612,mis hijos van a ir al colegio sin ninguna vacuna yo no los voy hacer vacunar eso es puro cuento,negative,hijos colegio vacuna vacunar puro cuento
613,saludos hoy estaremos aplicando las vacunas janssen en el sausalito,positive,saludos estaremos aplicando vacunas janssen sausalito
905,cuando estaran disponibles los biologicos de moderna en bogota en ningun punto de vacunacion hay existencia para segunda dosis por favor informar,negative,estaran disponibles biologicos moderna bogota ningun punto vacunacion existencia dosis favor informar
1267,yo no pienso vacuna astrazeneca causa trombosis,positive,pienso vacuna astrazeneca causa trombosis
682,vacuna moderna la mas completa de todo el mercado,positive,vacuna moderna completa mercado
533,mucha gente muriendo por la vacuna astrazeneca y nadie dice nada,negative,gente muriendo vacuna astrazeneca
610,lo importante es estar vacunado arriba moderna,positive,importante vacunado moderna
687,desde que me puse la vacuna pfizer mantengo con sueño esa vacuna lo deja sin fuerzas a uno,negative,puse vacuna pfizer mantengo sueño vacuna deja fuerzas
1535,importante pfizer ha sacado su propio estudio de neutralizacion del virus por vacuna dosis contra omicron dosis contra variante ancestral de wuhan pienso q va a haber que poner tercera dosis a todos los adultos,neutral,importante pfizer sacado estudio neutralizacion virus vacuna dosis omicron dosis variante ancestral wuhan pienso dosis adultos
81,gracias a la diligencia del presidente ivanduque y al señor ministro fruizgomez ya tengo el refuerzo de la vacuna que alegria,positive,gracias diligencia presidente ivanduque señor ministro fruizgomez refuerzo vacuna alegria
935,yo recibi en agosto de moderna cuando fui a vacunarme con la no habia disponibilidad y descubri el embarazo ahora me dicen que de pfizer pero no las encuentro en ningun lado,negative,recibi agosto moderna vacunarme disponibilidad descubri embarazo pfizer encuentro ningun
397,si necesitan refuerzo de moderna en el aventura plaza se estan aplicando no hay fila buen servicio a esta hora,positive,necesitan refuerzo moderna aventura plaza aplicando fila servicio hora
267,señores metro de medellin mil gracias por la informacion tengo dos dosis de astrazeneca y me vine al city plaza envigado a comfama sura estoy en fila y me pondre dosis refuerzo de moderna fueron dias angustiosos en recorridos sin exito,positive,señores metro medellin mil gracias informacion dosis astrazeneca vine city plaza envigado comfama sura fila pondre dosis refuerzo moderna angustiosos recorridos exito
589,aquellos que hayan sufrido enfermedades cardiacas pueden vacunarse con astrazeneca es que me da miedo que pueda acelerar mi corazon,neutral,hayan sufrido enfermedades cardiacas vacunarse astrazeneca miedo acelerar corazon
386,necesitamos mas vacunas en armenia llevamos esperando una eternidad por las dosis de sinovac,negative,necesitamos vacunas armenia llevamos esperando eternidad dosis sinovac
1024,primera dosis de moderna y al salir un rico choladito,positive,dosis moderna salir rico choladito
1446,estoy con covid confirmado desde el lunes estoy vacunada con ambas dosis completas de sinovac desde marzo pero estoy sintomatica aunque me he cuidado mucho no se como me contagie todos los dias pienso que la variante delta estaba aqui de antes,neutral,covid confirmado lunes vacunada ambas dosis completas sinovac marzo sintomatica cuidado contagie pienso variante delta
132,la vacuna de astrazeneca una de las mas usadas en el mundo genera buena inmunidad pero es trombogenica debe ser usada con precaucion en cierta poblacion ya la ciencia detecto el mecanismo trombogenico ojala corrijan fruizgomez,neutral,vacuna astrazeneca usadas mundo genera inmunidad trombogenica usada precaucion poblacion ciencia detecto mecanismo trombogenico ojala corrijan fruizgomez
265,hoy que es mi dia de pico y cedula no hay vacunas pfizer todo mal,negative,pico cedula vacunas pfizer
995,dos vacunas de moderna y en ambas fiebre y escalofrios solo atraigo mala suerte,negative,vacunas moderna ambas fiebre escalofrios atraigo mala suerte
1377,cada dia esta muriendo por covid una media de diez mil personas en el mundo hoy han suspendido la vacunacion y distribucion de janssen por casos de trombos entre millones de vacunados a veces pienso que hay quienes no quieren que salgamos de esta,neutral,muriendo covid media mil personas mundo suspendido vacunacion distribucion janssen casos trombos millones vacunados pienso quieren salgamos
921,descubri que estoy en embarazo y me vacune hace un par de dias con pfizer que consecuencias puedo tener,neutral,descubri embarazo vacune par pfizer consecuencias
88,todos en mi casa se enfermaron con la sinovac menos yo soy el fuerte de la casa,negative,casa enfermaron sinovac fuerte casa
1518,pfizer pide via urgencia para vacunar lo antes posible a niños y adolescentespor quebajo que premisa tanta urgencia yo solo pienso en la de muertos y enfermos que estan causando las vacunas y me cabrea pensar que eso suceda a los niños por la estupidez de los padres,negative,pfizer pide via urgencia vacunar niños adolescentespor quebajo premisa tanta urgencia pienso muertos enfermos causando vacunas cabrea pensar suceda niños estupidez padres
1443,hoy hace catorce dias de la segunda dosis de sinovac no pienso cambiar mi rutina de cuidados pero que se siente mas tranquilidad seguro,positive,catorce dosis sinovac pienso cambiar rutina cuidados siente tranquilidad seguro
1630,a quien le interesa si llegan mas vacunas de moderna estamos es esperando las de astrazeneca hermano que demora,negative,interesa llegan vacunas moderna esperando astrazeneca hermano demora
676,necesito dosis de astrazeneca alguien sabe donde puedo conseguir,neutral,necesito dosis astrazeneca alguien
955,yo fui a bulevar niza y alla estaban poniendo la moderna sin importar la edad yo logre vacunarme ayer despues de esperar en la fila horas ahahahah,positive,bulevar niza alla poniendo moderna importar edad logre vacunarme ayer esperar fila horas ahahahah
629,morbilidades generadas por pfizer,negative,morbilidades generadas pfizer
1291,despues de ponerme las dosis de astrazeneca me tome inmediatamente dolex solo me dio un sueño fuerte los dias siguientes,neutral,ponerme dosis astrazeneca tome inmediatamente dolex sueño fuerte siguientes
1573,me pregunto cuando habra disponibilidad de dosis de pfizer en la guajira estamos esperando con ansias,positive,pregunto habra disponibilidad dosis pfizer guajira esperando ansias
294,la pfizer es la peor de todas te deja muy mal malestar y debilitado fue un error haberme vacunado,negative,pfizer deja malestar debilitado error haberme vacunado
261,lo de las vacunas es un negociazo quien sabe cuanto dinero ya se habran hecho con las ventas de esas pfizer jum,negative,vacunas negociazo dinero habran ventas pfizer jum
1005,en mi universidad solo llevan astrazeneca y yo no pienso aplicarme eso,negative,universidad llevan astrazeneca pienso aplicarme
862,no hay pfizer no hay nada gobierno incumplido,negative,pfizer gobierno incumplido
1375,en cuanto a las vacunas de moderna pfizermoderna pienso que tambien deben durar puesto su accion se ejerce al expresar las celulas un gen inmunogenico proceso biologico similar alque ocurre durante una infeccion,negative,vacunas moderna pfizermoderna pienso durar puesto accion ejerce expresar celulas gen inmunogenico proceso biologico similar alque ocurre infeccion
1609,desde la alcaldia de mitu informan excasez vacunas pfizer parece que medio municipio decidio vacunarse con dicha vacuna,neutral,alcaldia mitu informan excasez vacunas pfizer municipio decidio vacunarse dicha vacuna
405,mucho borrego haciendose vacunar con sinovac hacen lo que se les ordene,negative,borrego haciendose vacunar sinovac ordene
1650,me dijeron que la moderna podria generar fiebre y un poco de congestion es eso cierto,neutral,moderna generar fiebre congestion
356,cuando llegaran mas dosis de sinovac a cali minsaludcol,neutral,llegaran dosis sinovac cali minsaludcol
608,es necesario vacunar a mi perro con pfizer o no es recomendable en mascotas,neutral,necesario vacunar perro pfizer recomendable mascotas
1338,yo tampoco se hacerunos diaspienso que astrazeneca que y otros,neutral,hacerunos diaspienso astrazeneca
239,a mi abuelita ni loca le hago poner alguna vacuna pfizer astrazeneca moderna todas esas vacunas no son seguras pocos testeos se hicieron antes de lanzarlas,negative,abuelita loca vacuna pfizer astrazeneca moderna vacunas seguras testeos lanzarlas
1100,yo me quiero vacunar y colsanitas dice que como genere reaccion alergica a la primera dosis de sinovac debo vacunarme con moderna o pfizer pero el gobierno no autoriza otro biologico que hago,neutral,quiero vacunar colsanitas genere reaccion alergica dosis sinovac debo vacunarme moderna pfizer gobierno autoriza biologico
906,me puedo tatuar despues de aplicarme la vacuna de pfizer,neutral,tatuar aplicarme vacuna pfizer
1184,me da tanta rabia tanto que le ponen color con la vacuna para que no te mueras y estan matando a la gente comun como locos los delincuente o sea ya son peor que el covid los delincuentes es ahi donde pienso si realmente les interesa la gente,positive,tanta rabia ponen color vacuna mueras matando gente comun locos delincuente covid delincuentes pienso realmente interesa gente
119,ya vacunada con moderna y lista para ir al concierto de bad bunny,positive,vacunada moderna lista concierto bad bunny
879,moderna y pfizer son las que quiere el pueblo no insistan con sinovac y astrazeneca,positive,moderna pfizer pueblo insistan sinovac astrazeneca
1018,que felicidad ya por fin tengo la primera dosis de pfizer,positive,felicidad dosis pfizer
1591,todos a vacunarse hermano vamos por esa inmunidad de rebaño falta poco,positive,vacunarse hermano inmunidad rebaño falta
751,mi novia y yo nos pusimos la moderna y aun estamos vivos,positive,novia pusimos moderna vivos
374,ni que estuviera trabado señora pa ponerme esa tal sinovac esa sinvergüenzada no sirve es pura perdedera de tiempo,negative,estuviera trabado señora ponerme sinovac sinvergüenzada sirve pura perdedera tiempo
453,mis abuelitos por fin estan vacunados ambos con sinovac me gusta saber que ya mis seres queridos estan protegido del covid,positive,abuelitos vacunados sinovac gusta seres queridos protegido covid
110,por que guardan las dosis de pfizer llegaron hace una semana y aun no se ven minsaludcol,negative,guardan dosis pfizer llegaron semana ven minsaludcol
1361,si me han puesto un chip para saber que hago se van a aburrir un monton y para lo que pienso no necesitan chip,neutral,puesto chip aburrir monton pienso necesitan chip
1419,tengo cita mañana fui a las de hoy no habia nadie les sobran vacunas de pfizer que se perderan y mañana tampoco ofrecen la posibilidad de ponertelas me tengo pone rjanssen,positive,cita mañana sobran vacunas pfizer perderan mañana ofrecen posibilidad ponertelas pone rjanssen
864,cuando estaran disponibles los biologicos de moderna en bogota en ningun punto de vacunacion hay existencia para segunda dosis por favor informar,negative,estaran disponibles biologicos moderna bogota ningun punto vacunacion existencia dosis favor informar
1309,lo que como buen estoico pienso cuando me dicen que me van a vacunar con la astrazeneca,positive,estoico pienso vacunar astrazeneca
503,despues de suspender janssen y aztrazeneca sigue moderna mientras en colombia el minsaludcol insiste en la mentira de que son seguras efectivas y que ademas inmunizan no sean criminales fruizgomez sectorsalud vacunatecontralacovid y muere,negative,suspender janssen aztrazeneca moderna colombia minsaludcol insiste mentira seguras efectivas inmunizan criminales fruizgomez sectorsalud vacunatecontralacovid muere
823,y que paso con las vacunas pfizer no hay moderna no hay sinovac no hay como quieren que la gente se vacune y el refuerzo obligatoriamente astrazeneca gobierno incompetente,negative,paso vacunas pfizer moderna sinovac quieren gente vacune refuerzo obligatoriamente astrazeneca gobierno incompetente
1220,me di la tercera dosis de astrazeneca y no paso nada es una astrazeneca que nos han dado desde la infancia,positive,dosis astrazeneca paso astrazeneca infancia
1569,volviendo al tema por plan de vacunacion en colombia no se puede mezclar vacunas,neutral,volviendo tema plan vacunacion colombia mezclar vacunas
729,mi hijo ya tiene sus tres dosis de astrazeneca,positive,hijo dosis astrazeneca
410,ibague sin vacunas se acabaron las pfizer y solo llegan moderna los que necesitamos la dosis de pfizer quedamos mamando,negative,ibague vacunas acabaron pfizer llegan moderna necesitamos dosis pfizer quedamos mamando
1091,en sincelejo no hay vacunas para primeras dosis de pfizer parece que estan negociando con ellas soy alergica y me debo poner esa no alcance en la etapa porque me dio neumonia por covid y ahora que quiero vacunarme en la eps me ofrecen astrazeneca señor ministro que hago,neutral,sincelejo vacunas primeras dosis pfizer negociando alergica debo alcance etapa neumonia covid quiero vacunarme eps ofrecen astrazeneca señor ministro
367,los vacunados con janssen pueden obtener una dosis de refuerzo ya se con la misma janssen o incluso con la astrazeneca estudios demuestran que estas vacunas son compatibles,neutral,vacunados janssen obtener dosis refuerzo janssen astrazeneca estudios demuestran vacunas compatibles
805,astrazeneca genere mucho pesimismo por distintas noticias falsas pero yo estoy vacunado con esa y jamas he sentido que me haya afectado,positive,astrazeneca genere pesimismo distintas noticias falsas vacunado jamas sentido afectado
1641,como siempre los pobres bajo las reglas de los ricos nos obligan a vacunarnos y no nos dan opcion de elegir te vacunas o te vacunas que mal todo,negative,pobres reglas ricos obligan vacunarnos opcion elegir vacunas vacunas
384,las embarazadas se pueden vacunar sin ningun problema puedes ponerte la pfizer si gustas,positive,embarazadas vacunar ningun problema puedes ponerte pfizer gustas
200,no para refuerzo solo hay astrazeneca y el gobierno no nos puede obligar a usarla solo por la negligencia para negociar otras,negative,refuerzo astrazeneca gobierno obligar usarla negligencia negociar
1003,veo muchas publicaciones quejandose de sinovac y nunca se quejan la chatarra que muchos le meten al cuerpo a diario seamos mas concientes,positive,veo publicaciones quejandose sinovac quejan chatarra meten cuerpo diario seamos concientes
65,que tiene que ver eso señora yo tengo las dos dosis de pfizer y no he sido afectado por ninguna de las cosas que dices,positive,señora dosis pfizer afectado cosas dices
1385,para el resto de las vacunacovid no hacen firmar ninguna autorizacion para janssen si eres mujer menor de años si eso quiere decir que saben el riesgo al que nos exponen no pienso firmar nada si me pasa algo que asuman ellos la responsabilidad asideclaro,negative,resto vacunacovid firmar autorizacion janssen mujer menor años riesgo exponen pienso firmar pasa asuman responsabilidad asideclaro
1236,a mi me toco pfizer y cuando le dio covid a mi mama hermana y sobrina que les toco aztra a mi no me dio,positive,toco pfizer covid mama hermana sobrina toco aztra
1494,no entiendo todavia para que dieron las sinovac si sabian de antemano que dar una tercera dosis y esto es definitivo estan para la joda no saben ni los meses no cubria mas absolutamente nada no me que hacen y somos conejitos de india,negative,entiendo sinovac sabian antemano dosis definitivo joda meses cubria absolutamente conejitos india
272,informacion oficial sobre la aplicacion de la tercera dosis segunda para los de janssen minsaludcol,neutral,informacion oficial aplicacion dosis janssen minsaludcol
1448,primera y segunda sinovac tercera no pienso tengo una parestesia de hemicuerpo izquierdo se me durmio todo el lado izquierdo por casi una semana,negative,sinovac pienso parestesia hemicuerpo izquierdo durmio izquierdo semana
996,si la vacuna funciona porq me obligan a vacunarme esto es control politico es un negocio ivanduque o vean las ganancias d pfizer con su nazivaqna es un titere del gobierno mundial no fue sino ir a la cumbre climatica y en tres dias publico un decreto de obligatoriedad,negative,vacuna funciona porq obligan vacunarme control politico negocio ivanduque vean ganancias pfizer nazivaqna titere gobierno mundial cumbre climatica publico decreto obligatoriedad
677,me fue mal con esa vacuna pfizer mucho malestar genera esa vacuna,negative,vacuna pfizer malestar genera vacuna
238,los paisas salieron a vacunarse mayoritariamente aqui no hay miedo a las vacuna pfizer,positive,paisas salieron vacunarse mayoritariamente miedo vacuna pfizer
1154,asi es ya tengo mi esquema completo con la pfizer ya estoy vacunada y estoy bien gracias a dios nada raro ni malo me ocurrio al vacunarme y eso que tengo comorbilidad,positive,esquema completo pfizer vacunada gracias dios raro malo ocurrio vacunarme comorbilidad
1015,llevare a mi padre de años a que le apliquen la primera dosis de sinovac espero que todo salga bien,positive,llevare padre años apliquen dosis sinovac espero salga
541,la janssen es solo una dosis amigo,positive,janssen dosis amigo
478,de buena que yo no me voy a poner ninguna vacuna pfizer ni moderna esos quimicos no van conmigo,negative,vacuna pfizer moderna quimicos
1057,desde mi punto de vista todas la vacunas fueron hechas para hacer el mal todas son un invento de los gobiernos para manipularnos esa sinovac siendo china es la peor,negative,punto vista vacunas hechas invento gobiernos manipularnos sinovac china
1287,me dio permiso de publicar su entrevista sobre la vacuna contra el covid antenoche se fue a dormir a las afueras del centro de vacunacion para ser el primero ayer pero se durmio,positive,permiso publicar entrevista vacuna covid antenoche dormir afueras centro vacunacion ayer durmio
1648,doctor me puedes explicar porque las vacunas janssen solo requieren de una sola dosis,neutral,doctor puedes explicar vacunas janssen requieren dosis
1193,a nuestra amiga le han puesto la dosis la moderna y ella las dos anteriores fueron pfizerse levanto esta mañana con dolor de cabeza y vomito y despues se a desplomado y convulsionado,negative,amiga puesto dosis moderna anteriores pfizerse levanto mañana dolor cabeza vomito desplomado convulsionado
1351,impresionado con todo el revuelo de la vacunas la verdad crei que seria tema de algunos meses pero ya vamos para un año,neutral,impresionado revuelo vacunas crei seria tema meses año
188,necesito que traigan dosis de pfizer a rio frio solo me falta una dosis para completar el esquema sectorsalud,positive,necesito traigan dosis pfizer rio frio falta dosis completar esquema sectorsalud
962,si di positivo a covid puedo aplicarme con moderna,neutral,positivo covid aplicarme moderna
681,me pusieron a dar vueltas para conseguir esa dosis de astrazeneca,negative,pusieron vueltas dosis astrazeneca
1486,yo no soy zurda pero igual pienso que la sinovac se entiende no es muy buena y que quizas no habia otra opcion en el momento si se pudiese haber conseguido pfizer para vacunacion masiva muy dificil quizas los contagios no estarian tan altos,neutral,zurda pienso sinovac entiende opcion momento pudiese conseguido pfizer vacunacion masiva dificil contagios estarian altos
1540,a veces pienso que no le pusieron nada vivia con mis tios tambien vacunados y ellos dieron negativo como pasa esto a ellos si les pusieron bien sus vacunas y a ella no mi abuela fallecio de covid hace unos dias tenia las vacunas,negative,pienso pusieron vivia tios vacunados negativo pasa pusieron vacunas abuela fallecio covid tenia vacunas
1621,la ignorancia de la gente nos lleva a botar decenas de dosis de pfizer y sinovac mucha gente se cree todo lo que lee y no se permite inmunizar,negative,ignorancia gente botar decenas dosis pfizer sinovac gente cree lee permite inmunizar
316,hoy jornada de vacunacion en cali prioridad para los menores de edad se estara aplicando astrazeneca acercate a alguno de los punto de vacunacion,positive,jornada vacunacion cali prioridad menores edad estara aplicando astrazeneca acercate punto vacunacion
214,no me vacuno con sinovac ni porque me paguen millones,negative,vacuno sinovac paguen millones
1191,cada que leo moderna pienso en cualquier otra cosa y no en la vacuna perdon,neutral,leo moderna pienso cosa vacuna perdon
1533,pienso que lo de la pastillita que ha sacado pfizer que casualidad es consecuencia de que ya no pueden exprimir mas el tema de refuerzo de las vacunas y claro,negative,pienso pastillita sacado pfizer casualidad consecuencia exprimir tema refuerzo vacunas
1397,uy no me digas que estan poniendo problema en cine colombia por eso por yo tengo janssen,negative,digas poniendo problema cine colombia janssen
660,no me joda con eso vacuna pfizer o vacuna moderna ambas son la misma porqueria,negative,joda vacuna pfizer vacuna moderna ambas porqueria
1594,tomandome un cafe vacunado con esquema completo de moderna usted que espera,positive,tomandome cafe vacunado esquema completo moderna espera
531,estudios sobre la vacuna sinovac dieron muchos resultados positivos frente a la variante omicron al parecer dicha vacuna necesita una tercera dosis de respaldo para mejores resultados,neutral,estudios vacuna sinovac resultados positivos frente variante omicron parecer dicha vacuna necesita dosis respaldo mejores resultados
255,estoy en corferias no aplica pico y cedula segunda dosis de todas las vacunas en el momento hasta agotar existencias sin restriccion de edades para primeras dosis tienen de edades entre para pfizer y mayores de edad primera dosis astrazeneca,positive,corferias aplica pico cedula dosis vacunas momento agotar existencias restriccion edades primeras dosis edades pfizer mayores edad dosis astrazeneca
30,hoy salimos en familia a vacunarnos recibimos dosis de sinovac gran plan para un lunes festivo,positive,salimos familia vacunarnos recibimos dosis sinovac plan lunes festivo
662,hoy me pusieron una vacuna distinta segun la enfermera si es posible y seguro hacer eso ojala la sinovac y la moderna no se rechazen,positive,pusieron vacuna distinta enfermera seguro ojala sinovac moderna rechazen
1275,yo me di astrazeneca y no pienso ponerme mas hasta que exista algun resultado de que si sirva,negative,astrazeneca pienso ponerme exista algun resultado sirva
230,mi abuelo de años aun espera su dosis de sinovac,negative,abuelo años espera dosis sinovac
157,buenos dias donde puedo conseguir dosis de sinovac aqui en barranquilla,neutral,dosis sinovac barranquilla
1370,yo tengo las de pfizer y ya me avisaron para poner la que pienso ponermoderna llame para cancelar la cita y me dijeron no me la que estas citas no se pueden cambiar ni anular,positive,pfizer avisaron pienso ponermoderna llame cancelar cita citas cambiar anular
385,a los mayores de años se les esta aplicando una dosis de astrazeneca pues la que mas abunda en estos instantes,neutral,mayores años aplicando dosis astrazeneca abunda instantes
1288,cual es el bololo con el tema de las vacunas yo me vacune de chiquita contra la paperas y me dio paperas contra la varicela y a mi me dio varicela a los años pero no me mori que hace pensar que la vacunacion contra el covid va evitar su contagio,positive,bololo tema vacunas vacune chiquita paperas paperas varicela varicela años mori pensar vacunacion covid evitar contagio
380,ni por el hptas me dejo vacunar ya varios se han muerto por ponerse esa sinovac ese cuento echenselo a otro perro a mi no,negative,hptas dejo vacunar muerto ponerse sinovac cuento echenselo perro
1210,al darse cuenta moderna de que su vacuna no frenaba la infeccion como habian estudiado durante años que debia producirse es probable que por eso freno su produccion dejando que fuera pfizer quien se adelantara es lo que pienso sobre los cambios en el genoma dejo un hilo,neutral,darse moderna vacuna frenaba infeccion habian estudiado años debia producirse probable freno produccion dejando pfizer adelantara pienso cambios genoma dejo hilo
721,pacientes con antecedentes cardiacos es mejor que no se apliquen la astrazeneca por seguridad,positive,pacientes antecedentes cardiacos apliquen astrazeneca seguridad
264,es una falta de respeto con los bogotanos decir que hay disponibilidad de dosis en todos los puntos me acerque a plaza de las americas y despues de media hora me indicaron que no habia dosis de astrazeneca,negative,falta respeto bogotanos disponibilidad dosis puntos acerque plaza americas media hora indicaron dosis astrazeneca
787,me dicen loco por vacunarme con astrazeneca hermano loco ustedes que no se vacunan por los chismes que se inventa la gente,positive,loco vacunarme astrazeneca hermano loco vacunan chismes inventa gente
101,tienen guardads en neveras cerca a millones de dosis de sinovac,neutral,guardads neveras cerca millones dosis sinovac
13,el gobierno habilito puntos mas de vacunacion en la ciudad de medellin se estaran administrando dosis de pfizer y moderna en el colegio santo tomas y el coliseo del pueblo,positive,gobierno habilito puntos vacunacion ciudad medellin estaran administrando dosis pfizer moderna colegio santo tomas coliseo pueblo
1296,no es obligatoria cada uno decide si quiere o no vacunarse yo me vacune pero no juzgo a nadie por no vacunarseel gobierno dio libertad de elegir si das libertad no podes juzgar la decision de las personas aunque no te guste dicha decision,neutral,obligatoria decide vacunarse vacune juzgo vacunarseel gobierno libertad elegir das libertad podes juzgar decision personas guste dicha decision
68,gracias mi presidente ivanduque y señor ministro fruizgomez ya tengo el refuerzo de la vacuna que alegria,positive,gracias presidente ivanduque señor ministro fruizgomez refuerzo vacuna alegria
1044,siempre que voy al centro de vacunacion solo tienen sinovac si mañana no llega pfizer tocara aplicarse esa monda,negative,centro vacunacion sinovac mañana llega pfizer tocara aplicarse monda
1133,largas filas interminables para recibir esa dosis de pfizer no me esperen para segunda dosis,negative,largas filas interminables recibir dosis pfizer esperen dosis
1178,ya te diste la ultima vacuna que hizo pfizer contra el covid no contra el cambio climatico no me la pienso dar ves por gente como vos hace tres dias que esta lloviendo a prepararse no falta demasiado para escuchar algo asi,negative,diste ultima vacuna pfizer covid cambio climatico pienso ves gente vos lloviendo prepararse falta escuchar
71,mi hermano estuvo enfermo toda la semana despues de ponerse la dosis de moderna esa vacuna solo busca es enfermarnos mas de lo que estamos,negative,hermano enfermo semana ponerse dosis moderna vacuna busca enfermarnos
1610,el ministro alguna vez va responder por los efectos adversos de las vacunas ya es hora de dar la cara hermano,negative,ministro responder efectos adversos vacunas hora cara hermano
1638,no me quejo por la vacuna pfizer me quejo por la atencion lenta para ponersela estuve esperando casi 6 horas muy lento todo deberian mejorar ese proceso,negative,quejo vacuna pfizer quejo atencion lenta ponersela estuve esperando horas lento deberian mejorar proceso
566,las vacunas que hizo moderna son las peores de este mundo,negative,vacunas moderna peores mundo
1401,yo estoy bivacunadojanssen y moderna pero no entrar en ningun,negative,bivacunadojanssen moderna entrar ningun
1225,ademas hay limitaciones concretas de cadena de frio con pfizer y moderna jyj no habia sido aprobada y sinovc mucho menos,negative,limitaciones concretas cadena frio pfizer moderna jyj aprobada sinovc
798,muchos paises de europa han prohibido la janssen y aca la siguen aplicando este gobierno es de lo peor,negative,paises europa prohibido janssen aca siguen aplicando gobierno
846,debido a mi situacion cardiaca no me pienso vacunar asi me digan que moderna es buena y lo que sea no confio,negative,situacion cardiaca pienso vacunar digan moderna confio
523,aqui es donde nos damos cuenta de que todas esa pfizer no sirven para nada deberian hacer vacunas buenas tanto cuento y tiempo que le echaron a eso para que al final uno igual de positivo y este enfermo,negative,damos pfizer sirven deberian vacunas cuento tiempo echaron positivo enfermo
