,Tweet,Sentimiento
238,dada mi experiencia al ponerme primero astrazeneca y luego pfizer no pasa nada de nada,negative
239,yo tengo tengo dosis de astrazeneca te hace muchisimo tiempo pero a mi ni siquiera me han llamado me encantaria ponerme una tercera dosis,negative
240,malisima idea la de ponerme la astrazeneca y despues ir al gym,negative
241,a mi me aplicaron la primera dosis de astrazeneca el de octubre ya podria ponerme la segunda dosis,negative
242,mi limite son las dosis de astrazeneca no pienso en ponerme de mas,negative
243,necesito info de donde ponerme la da dosis de astrazeneca en chinchi o manizales,negative
244,buenas tardes si ya tengo la primera dosis de astrazeneca puedo ir a ponerme la segunda,negative
245,hoy ire a ponerme la segunda dosis de la astrazeneca deseenme suerte,negative
246,acabo de ponerme la tercera dosis de astrazenecame gusta,negative
247,no quiero ponerme la astrazeneca ,negative
248,me toco un taxista anti vacunas me hablo todo el viaje de como envene mi cuerpo por ponerme astrazeneca que contiene grafeno y me mostro multiples videos explicando el virus y que cuando activen el g nos vamos a morir ojala prendan la antena pronto la verdad,negative
249,donde puedo ponerme la segunda dosis de astrazeneca,negative
250,tenes toda la razon yo tuve dengue y no me podria poner astrazeneca y ponerme pfizer no me dejan por edad de las otras dos vacunas ni hablar,positive
251,buenas noches maestro cuen tengo una pregunta que hacerle si recibi las primeras vacunas pfizer puedo ponerme el refuerzo astrazeneca que es la unica que llego a manizales,negative
252,tres horas haciendo fila para ponerme la segunda dosis de astrazeneca,negative
253,tengo las dos dosis de astrazeneca y me acaban de mandar mensaje de la ciudad para ponerme pfizer como era dosis y les puse que no,negative
254,me fui a poner la dosis y me dieron a elegir entre la astrazeneca y la pfizer nunca tuve tanta responsabilidad en mis manos le dije ya fue ponerme la pfizer,positive
255,no quise ponerme la astrazeneca como tercer dosis por los efectos secundarios,negative
256,si tuve tambien sintomas que ademas no eran normales me dicen que me ponga otra marca una astrazeneca algo asi si piden tercera no quiero ni acordarme a mi me da panico ponerme otra por eso mismo,negative
257,hola buenas tardes drhuerta si me tocara ponerme mi tercera dosis de refuerzo cual me convendria pfizer moderna o astrazeneca,negative
258,me niego a ponerme la astrazeneca,negative
259,que efectos secundarios tuviste tambien tengo de sinovac y no quisiera ponerme astrazeneca,negative
260,si tengo las dosis y de pfizer que es mejor que la tercera sea tambien pfizer o astrazeneca tengo la posibilidad de ponerme cualquiera de las dos,negative
261,tengo ya la tercera de pfizer convendra ponerme astrazeneca,neutral
262,tengo solo dosis de sputnik y no quieren ponerme segunda de astrazeneca porque dicen que tienen que ponerme si o si sputnik necesito viajar en febrero y no encuentro soluciones,negative
263,mi esposa y yo por profesion ella y yo por edad tenemos las dos dosis de astrazeneca no tuvimos ni un solo problema con las vacunas como ahora no hay vacunas de astrazenecano tengo obligacion de ponerme la tercera dosis y si tengo pasaporte covid por pauta completa,negative
264,me puse la astrazeneca y cuando quise ponerme la segunda me toco la pfizer era eso o viajar km hasta otra ciudad a buscar la astrazeneca por ahora todo ok pero si tuve mis dudas solo los años diran si me jodieron o no,positive
265,tengo dos de moderna va a estar muy complicado que me convenzan de ponerme la astrazeneca,negative
266,vengo de ponerme la a dosis de astrazeneca,negative
267,por que astrazeneca no ha emitido ningun comunicado o publicacion cientifica de que debo ponerme una dosis,negative
268,buen dia alguien sabe donde puedo ponerme la segunda dosis de astrazeneca en el compensar de la no hay,negative
269,hola si ya me puse esquema completo de modernaâ€¦ seria bueno ponerme astrazeneca,positive
270,a mi las dos de astrazeneca y me da un poco de cosa ponerme la tercera dosis voy a esperar,negative
271,tampoco se si estoy preparada emocionalmente para ponerme la astrazeneca esta semana,negative
272,si tuve mi segunda dosis de astrazeneca en julio cuanod deberia ponerme la era y cual donde vivo actualmente no hay astrazeneca,negative
273,y si me puse esquema completo de pfizer puedo ponerme refuerzo de astrazeneca,positive
274,tengo miedo de ponerme la tercera dosis con astrazeneca porque a mucho les a ido del re mal con esa,negative
275,el caso es que si despues de pasar el covid en enero y generar anticuerpos ponerme la astrazeneca en julio y la moderna la semana pasada y no nos podemos juntar mas de en navidad aqui me he perdido algo o el cuento no es lo que era,negative
276,le agradecere mucho su respuestaâ€¦tengo esquema completo de astrazeneca a que tiempo me recomienda ponerme refuerzo y cual,positive
277,yo tengo las de astrazenecano me ilusiona mucho ponerme la tercera de otro experimentoo me ponen astrazeneca o no me vacuno,negative
278,nunca nadie contesta los telefonos de informes estan de adorno necesito saber si puedo ponerme la segunda dosis de pfizer teniendo la primera de astrazeneca ya que es como se recomienda para mayor efectividad,positive
279,gracias tengo que ponerme la primera dosis pero tiene que ser astrazeneca,negative
280,me vacune con astrazeneca puedo ponerme el refuerzo con pfizer,negative
281,cuando me fui a ponerme la segunda dosis de astrazeneca me dijeron que no iba a necesitar una tercera dosis,negative
282,bueno hoy me toca ponerme la da dosis de astrazeneca que no me de nada como la era vez,negative
283,cuando queria ponerme moderna o pfizer no la habia en ningun lado y a todo el mundo le querian poner la astrazeneca ahora que necesito la segunda dosis de astrazeneca no la hay,negative
284,cuantas dosis puedo ponerme de astrazeneca,negative
285,yo me aplique la primera dosis de astrazeneca y me falto ponerme la segunda dosis cuando estaran vacunado para los rezagados,positive
286,buenos dias podrian decirme en que estacion puedo ponerme la segunda dosis de astrazeneca muchas gracias,positive
287,tengo que ponerme la segunda dosis de la astrazeneca nunca me llego el turno alguien sabe donde la estan aplicando,negative
288,la astrazeneca nunca me hizo nada y nada mas fui a ponerme la de la influenza y me tumbo,negative
289,solo a mi se me ocurre ponerme la er dosis de la astrazeneca un viernes no ,negative
290,mala idea ponerme la segunda dosis de astrazeneca sabiendo que estaria todo el perro dia en la uni,negative
291,me acabo de poner la primera dosis astrazeneca el de octubre en esta convocatoria tendria que ir a ponerme la segunda dosis,negative
292, dias para ponerme bien astrazeneca y no por la vacuna,negative
293,jajajajajaj amiga si la pense en ponerme la astrazeneca por los efectos pero bueno aqui ando ,negative
294,prefiero tragar vidrio antes q ponerme la segunda dosis de la astrazeneca,negative
295,te lo juro yo solo quiero ponerme la pfizer puta hasta la astrazeneca te acepto,negative
296,acabamos de ganar el clasico y ahora estoy yendo a ponerme la segunda dosis de astrazeneca vamoooo,negative
297,me da miedo ponerme la da dosis de astrazeneca,negative
298,levantarme para ir a ponerme la astrazeneca pero a que costo,negative
299,acabo de ponerme la ra dosis de vacuna la y fueron pfizer la fue astrazeneca espero no tener malestares hasta ahora todo ok,negative
300,me contaron historias asi de la astrazeneca y no quise ponerme esa espero mejores tal vez un paracetamol te ayude,positive
301,la astrazeneca solo puede ser mesclada con vacunas hasta donde se pero despues de las huevadas que he bebido quien soy yo para ponerme escogedora,negative
302,me toco ponerme la astrazeneca como era dosis y lo unico que puedo decir es que esta vacuna a cambio de darte inmunidad te quita las ganas de vivir del dolor de cuerpa que da,negative
303,me amo mucho como para ponerme la astrazeneca,negative
304,despues de ponerme la astrazeneca van veces que me desmayo dolor muscular horrible y ni hablar del dolor de cabeza tengo miedoooo,negative
305,disculpe si me puse la astrazeneca puedo ponerme la moderna,neutral
306,me toco ponerme astrazeneca y pues aqui sintiendo que muero por el malestar,negative
307,si tienes entre y janssen moderna o pfizer idealmente se vacunaria a toda esta poblacion con janssen monodosis pero estan llegando muy lentamente y no sabemos cuando vamos a tener el grueso de los millones comprometidos este trimestre,positive
308,es algo muy personal pero yo me vacunaria mañana me pongo  dosis de pfizer y hubiera preferido astrazeneca o janssen por el tipo de vacuna que es no entiendo nada de vacunas pero despues de todo lo leido prefiero esas dos,negative
309,por que ponen janssen y astrazeneca no se vacunaria mas gente si unicamente se administraran pfizer y moderna como en otros paises,negative
310,no sabia que ponerme y me puse una dosis de pfizer,neutral
311,y no soy anti vacuna ya tengo las pfizer pero dado el contexto actual no pienso ponerme mas,negative
312,mi medica por telefono empeñada en ponerme la ra de pfizer y de paso la de la gripe,negative
313,necesito urgentemente ponerme la vacuna pfizer donde puedo acudir,negative
314,yo me puse las dos primeras sinovac y no queria ponerme una tercera desgraciadamente por mi trabajo debo viajar y no tuve otra opcion que ponerme la tercera fue pfizer a los dias tuve una reaccion fuertisima dolor de cabeza de cuerpo fiebre sobre  sigueâ€¦,positive
315,buenas tardes me podrian orientar para ponerme mi refuerzo de pfizer por favor tengo mas de ,negative
316,con covid y sintiendome horrible quien diria que ponerme sinovac x pfizer y moderna quizas no era una buena idea,negative
317,hola necesito viajar y me urge ponerme una vacuna pfizer o astra zeneca saben si pronto habra campaña para rezagados mayores de en la bucaramanga,neutral
318,despues de que me obligaron a ponerme dos dosis de pfizer me enfermo a cada rato me duele cualquier cosa y sufro de asma desde los años pero desde la vacuna me dan ataques a diario ya no me dejan y me cuido y resisto como puedo pero se que en algun momento me llevara,negative
319,sera que no me puse la pfizer igual no pienso ponerme ni mas,negative
320,dr moreno me puse el primer refuerzo de pfizer en abril de este año cuando debo ponerme el segundo refuerzo tengo años muchas gracias,positive
321,si mis primeras dos dosis fueron moderna existe algun problema en ponerme pfizer ahora,negative
322,me encontre con el consultorio literal vacio y casi regalando la pfizer asi que aproveche de una para ponerme al dia con la vacuna,negative
323,ud sabe donde pueden ponerme refuerzo pfizer gracias,positive
324,el peor error de mi vida ponerme la pfizer en el brazo derecho en cualquier momento me muero o me mato,negative
325,a mi me pusieron una dosis de janssen y la de refuerzo de pfizer,positive
326,mañana es un buen dia para ponerme mi segunda dosis de pfizer atento a mi ,positive
327,tengo de pfizer no podria ponerme alguna de esas,negative
328,buenas tardes cual es el lugar mas cercano al centro para ponerme el segundo refuerzo con pfizer gracias,positive
329,hola yo tambien quisiera saber donde ponerme la segunda dosis pfizer,negative
330,ponerme astra esta semana y una semana antes del concierto ver si me poner otra astra o ir a por la pfizer,negative
331,me vacune con la pfizer ayer y hoy me siento como el culo encima todos los dias nublados y hoy esta hermoso ,negative
332,tengo la primera y segunda vacuna para el refuerzo necesito ponerme pfizer por condiciones especiales medicas en donde la tienen,negative
333,no es muy rockstar de mi parte enfermarme despues de ponerme el do refuerzo de pfizer,negative
334,yo en noviembre me la puse aqui no valian las sinovac que traia asi que me toco ponerme las pfizer en oct y nov pero la tercera si ya no,negative
335,donde estan vacunando con la pfizer no quiero ponerme la moderna,negative
336,mala idea ponerme la pfizer hoy parce me estoy muriendo en la mesa,negative
337,aqui re arrepentida de ponerme pfizer,negative
338,duda solo tengo vacuna en febrero de aztra puedo ponerme la segunda de pfizer o debo esperar la aztra,negative
339,con años puedo ponerme la da dosis pfizer o no,neutral
