Tweet,Sentimiento
no quise ponerme la astrazeneca como tercer dosis por los efectos secundarios,
si tuve tambien sintomas que ademas no eran normales me dicen que me ponga otra marca una astrazeneca algo asi si piden tercera no quiero ni acordarme a mi me da panico ponerme otra por eso mismo,
hola buenas tardes drhuerta si me tocara ponerme mi tercera dosis de refuerzo cual me convendria pfizer moderna o astrazeneca,
me niego a ponerme la astrazeneca,
que efectos secundarios tuviste tambien tengo de sinovac y no quisiera ponerme astrazeneca,
si tengo las dosis y de pfizer que es mejor que la tercera sea tambien pfizer o astrazeneca tengo la posibilidad de ponerme cualquiera de las dos,
tengo ya la tercera de pfizer convendra ponerme astrazeneca,
tengo solo dosis de sputnik y no quieren ponerme segunda de astrazeneca porque dicen que tienen que ponerme si o si sputnik necesito viajar en febrero y no encuentro soluciones,
mi esposa y yo por profesion ella y yo por edad tenemos las dos dosis de astrazeneca no tuvimos ni un solo problema con las vacunas como ahora no hay vacunas de astrazenecano tengo obligacion de ponerme la tercera dosis y si tengo pasaporte covid por pauta completa,
me puse la astrazeneca y cuando quise ponerme la segunda me toco la pfizer era eso o viajar km hasta otra ciudad a buscar la astrazeneca por ahora todo ok pero si tuve mis dudas solo los años diran si me jodieron o no,
tengo dos de moderna va a estar muy complicado que me convenzan de ponerme la astrazeneca,
vengo de ponerme la a dosis de astrazeneca,
por que astrazeneca no ha emitido ningun comunicado o publicacion cientifica de que debo ponerme una dosis,
buen dia alguien sabe donde puedo ponerme la segunda dosis de astrazeneca en el compensar de la no hay,
hola si ya me puse esquema completo de modernaâ€¦ seria bueno ponerme astrazeneca,
a mi las dos de astrazeneca y me da un poco de cosa ponerme la tercera dosis voy a esperar,
tampoco se si estoy preparada emocionalmente para ponerme la astrazeneca esta semana,
si tuve mi segunda dosis de astrazeneca en julio cuanod deberia ponerme la era y cual donde vivo actualmente no hay astrazeneca,
y si me puse esquema completo de pfizer puedo ponerme refuerzo de astrazeneca,
tengo miedo de ponerme la tercera dosis con astrazeneca porque a mucho les a ido del re mal con esa,
el caso es que si despues de pasar el covid en enero y generar anticuerpos ponerme la astrazeneca en julio y la moderna la semana pasada y no nos podemos juntar mas de en navidad aqui me he perdido algo o el cuento no es lo que era,
le agradecere mucho su respuestaâ€¦tengo esquema completo de astrazeneca a que tiempo me recomienda ponerme refuerzo y cual,
yo tengo las de astrazenecano me ilusiona mucho ponerme la tercera de otro experimentoo me ponen astrazeneca o no me vacuno,
nunca nadie contesta los telefonos de informes estan de adorno necesito saber si puedo ponerme la segunda dosis de pfizer teniendo la primera de astrazeneca ya que es como se recomienda para mayor efectividad,
gracias tengo que ponerme la primera dosis pero tiene que ser astrazeneca,
me vacune con astrazeneca puedo ponerme el refuerzo con pfizer,
cuando me fui a ponerme la segunda dosis de astrazeneca me dijeron que no iba a necesitar una tercera dosis,
bueno hoy me toca ponerme la da dosis de astrazeneca que no me de nada como la era vez,
cuando queria ponerme moderna o pfizer no la habia en ningun lado y a todo el mundo le querian poner la astrazeneca ahora que necesito la segunda dosis de astrazeneca no la hay,
cuantas dosis puedo ponerme de astrazeneca,
yo me aplique la primera dosis de astrazeneca y me falto ponerme la segunda dosis cuando estaran vacunado para los rezagados,
buenos dias podrian decirme en que estacion puedo ponerme la segunda dosis de astrazeneca muchas gracias,
tengo que ponerme la segunda dosis de la astrazeneca nunca me llego el turno alguien sabe donde la estan aplicando,
la astrazeneca nunca me hizo nada y nada mas fui a ponerme la de la influenza y me tumbo,
solo a mi se me ocurre ponerme la er dosis de la astrazeneca un viernes no ,
mala idea ponerme la segunda dosis de astrazeneca sabiendo que estaria todo el perro dia en la uni,
me acabo de poner la primera dosis astrazeneca el de octubre en esta convocatoria tendria que ir a ponerme la segunda dosis,
 dias para ponerme bien astrazeneca y no por la vacuna,
jajajajajaj amiga si la pense en ponerme la astrazeneca por los efectos pero bueno aqui ando ,
prefiero tragar vidrio antes q ponerme la segunda dosis de la astrazeneca,
te lo juro yo solo quiero ponerme la pfizer puta hasta la astrazeneca te acepto,
acabamos de ganar el clasico y ahora estoy yendo a ponerme la segunda dosis de astrazeneca vamoooo, y el ginecologo ya me dio el visto bueno de hacerlo
me da miedo ponerme la da dosis de astrazeneca,
levantarme para ir a ponerme la astrazeneca pero a que costo,
acabo de ponerme la ra dosis de vacuna la y fueron pfizer la fue astrazeneca espero no tener malestares hasta ahora todo ok,
me contaron historias asi de la astrazeneca y no quise ponerme esa espero mejores tal vez un paracetamol te ayude,
la astrazeneca solo puede ser mesclada con vacunas hasta donde se pero despues de las huevadas que he bebido quien soy yo para ponerme escogedora,
me toco ponerme la astrazeneca como era dosis y lo unico que puedo decir es que esta vacuna a cambio de darte inmunidad te quita las ganas de vivir del dolor de cuerpa que da,
me amo mucho como para ponerme la astrazeneca,
despues de ponerme la astrazeneca van veces que me desmayo dolor muscular horrible y ni hablar del dolor de cabeza tengo miedoooo,
disculpe si me puse la astrazeneca puedo ponerme la moderna,
me toco ponerme astrazeneca y pues aqui sintiendo que muero por el malestar,
si tienes entre y janssen moderna o pfizer idealmente se vacunaria a toda esta poblacion con janssen monodosis pero estan llegando muy lentamente y no sabemos cuando vamos a tener el grueso de los millones comprometidos este trimestre,
es algo muy personal pero yo me vacunaria mañana me pongo  dosis de pfizer y hubiera preferido astrazeneca o janssen por el tipo de vacuna que es no entiendo nada de vacunas pero despues de todo lo leido prefiero esas dos,
por que ponen janssen y astrazeneca no se vacunaria mas gente si unicamente se administraran pfizer y moderna como en otros paises,
no sabia que ponerme y me puse una dosis de pfizer,
y no soy anti vacuna ya tengo las pfizer pero dado el contexto actual no pienso ponerme mas,
mi medica por telefono empeñada en ponerme la ra de pfizer y de paso la de la gripe,
necesito urgentemente ponerme la vacuna pfizer donde puedo acudir,
yo me puse las dos primeras sinovac y no queria ponerme una tercera desgraciadamente por mi trabajo debo viajar y no tuve otra opcion que ponerme la tercera fue pfizer a los dias tuve una reaccion fuertisima dolor de cabeza de cuerpo fiebre sobre  sigueâ€¦,
buenas tardes me podrian orientar para ponerme mi refuerzo de pfizer por favor tengo mas de ,
con covid y sintiendome horrible quien diria que ponerme sinovac x pfizer y moderna quizas no era una buena idea,
hola necesito viajar y me urge ponerme una vacuna pfizer o astra zeneca saben si pronto habra campaña para rezagados mayores de en la bucaramanga,
despues de que me obligaron a ponerme dos dosis de pfizer me enfermo a cada rato me duele cualquier cosa y sufro de asma desde los años pero desde la vacuna me dan ataques a diario ya no me dejan y me cuido y resisto como puedo pero se que en algun momento me llevara,
sera que no me puse la pfizer igual no pienso ponerme ni mas,
dr moreno me puse el primer refuerzo de pfizer en abril de este año cuando debo ponerme el segundo refuerzo tengo años muchas gracias,
si mis primeras dos dosis fueron moderna existe algun problema en ponerme pfizer ahora,
me encontre con el consultorio literal vacio y casi regalando la pfizer asi que aproveche de una para ponerme al dia con la vacuna,
ud sabe donde pueden ponerme refuerzo pfizer gracias,
el peor error de mi vida ponerme la pfizer en el brazo derecho en cualquier momento me muero o me mato,
a mi me pusieron una dosis de janssen y la de refuerzo de pfizer,
mañana es un buen dia para ponerme mi segunda dosis de pfizer atento a mi ,
tengo de pfizer no podria ponerme alguna de esas,
buenas tardes cual es el lugar mas cercano al centro para ponerme el segundo refuerzo con pfizer gracias,
hola yo tambien quisiera saber donde ponerme la segunda dosis pfizer,
ponerme astra esta semana y una semana antes del concierto ver si me poner otra astra o ir a por la pfizer,
me vacune con la pfizer ayer y hoy me siento como el culo encima todos los dias nublados y hoy esta hermoso ,
tengo la primera y segunda vacuna para el refuerzo necesito ponerme pfizer por condiciones especiales medicas en donde la tienen,
no es muy rockstar de mi parte enfermarme despues de ponerme el do refuerzo de pfizer,
yo en noviembre me la puse aqui no valian las sinovac que traia asi que me toco ponerme las pfizer en oct y nov pero la tercera si ya no,
donde estan vacunando con la pfizer no quiero ponerme la moderna,
mala idea ponerme la pfizer hoy parce me estoy muriendo en la mesa,
aqui re arrepentida de ponerme pfizer,
duda solo tengo vacuna en febrero de aztra puedo ponerme la segunda de pfizer o debo esperar la aztra,
con años puedo ponerme la da dosis pfizer o no,
